url;date;content;user;in_reply_to_user;conversation_user;reply_count;retweet_count;like_count;quote_count;ru_bert_base_label;ru_bert_base_score;ru_bert_large_label;ru_bert_large_score;ru_mdeberta_base_label;ru_mdeberta_base_score;ci_distilbert_base_label;ci_distilbert_base_score;label_sum;SG_UF;DS_CARGO;SQ_CANDIDATO;NM_URNA_CANDIDATO;NR_PARTIDO;SG_PARTIDO;NM_MUNICIPIO_NASCIMENTO;NR_IDADE_DATA_POSSE;DS_GENERO;DS_GRAU_INSTRUCAO;DS_ESTADO_CIVIL;DS_COR_RACA;DS_OCUPACAO;DS_SIT_TOT_TURNO;ST_REELEICAO;TW_USER;TW_followersCount;TW_friendsCount;TW_statusesCount;TW_favouritesCount;user_is_candidate
https://twitter.com/anaperugini/status/1569756265865256961;2022-09-13 18:33:53+00:00;"Não acredite nesses fantasmas que querem distrair com falsas afirmações.
O Brasil está vendo uma esperança renascer! 

Agora é Lula Presidente!
E Ana Perugini Deputada Estadual!

Ana Perugini 1️⃣3️⃣1️⃣2️⃣1️⃣

#AnaPerugini
#AnaPerugini13121
#CandidataADeputadaEstadual";anaperugini;anaperugini;anaperugini;0;0;0;0;True;0.9999328851699828;True;0.9987340569496156;True;0.999841570854187;False;0.972645342350006;3;SP;DEPUTADO ESTADUAL;250001611809;ANA PERUGINI;13;PT;CARIACICA;59.0;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;SERVENTUÁRIO DE JUSTIÇA;ELEITO POR QP;N;anaperugini;5021;1038;10390;6916;True
https://twitter.com/anaperugini/status/1583590648724455424;2022-10-21 22:46:47+00:00;Pelo jeito, a carruagem virou abóbora antes da hora - https://t.co/nmyNxO0pOu #LulaPresidente1⃣3️⃣;anaperugini;;anaperugini;1;50;219;5;True;0.9997428059577942;True;0.8880966901779175;False;0.9999830722808838;False;0.9854198098182678;2;SP;DEPUTADO ESTADUAL;250001611809;ANA PERUGINI;13;PT;CARIACICA;59.0;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;SERVENTUÁRIO DE JUSTIÇA;ELEITO POR QP;N;anaperugini;5021;1038;10390;6916;True
https://twitter.com/andreawerner_/status/1571950963984039937;2022-09-19 19:54:49+00:00;@rosana Gente, só eu não vi? Desculpa a vergonha que eu passei 🫣;andreawerner_;rosana;andreawerner_;1;0;33;0;True;0.999871015548706;True;0.9972035884857178;False;0.9999895095825196;False;0.8405138254165649;2;SP;DEPUTADO ESTADUAL;250001620622;ANDRÉA WERNER;40;PSB;BELO HORIZONTE;47.0;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;JORNALISTA E REDATOR;ELEITO POR QP;N;andreawerner_;63702;3039;37078;57548;True
https://twitter.com/andreawerner_/status/1570888410243674113;2022-09-16 21:32:37+00:00;@victorpvianna Crime;andreawerner_;victorpvianna;andreawerner_;0;0;3;0;False;0.9569103121757508;True;0.999987244606018;True;0.7863328456878662;False;0.994751751422882;2;SP;DEPUTADO ESTADUAL;250001620622;ANDRÉA WERNER;40;PSB;BELO HORIZONTE;47.0;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;JORNALISTA E REDATOR;ELEITO POR QP;N;andreawerner_;63702;3039;37078;57548;True
https://twitter.com/andreawerner_/status/1586790133419974656;2022-10-30 18:40:23+00:00;O Alexandre tá passando pano?;andreawerner_;;andreawerner_;208;74;1587;22;True;0.9941417574882508;True;0.706481397151947;False;0.9997313618659972;False;0.9277915954589844;2;SP;DEPUTADO ESTADUAL;250001620622;ANDRÉA WERNER;40;PSB;BELO HORIZONTE;47.0;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;JORNALISTA E REDATOR;ELEITO POR QP;N;andreawerner_;63702;3039;37078;57548;True
https://twitter.com/andreawerner_/status/1586742068680040453;2022-10-30 15:29:24+00:00;É golpe em andamento;andreawerner_;;andreawerner_;11;54;220;2;False;0.8837465643882751;True;0.9996681213378906;True;0.9997816681861876;False;0.8921939134597778;2;SP;DEPUTADO ESTADUAL;250001620622;ANDRÉA WERNER;40;PSB;BELO HORIZONTE;47.0;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;JORNALISTA E REDATOR;ELEITO POR QP;N;andreawerner_;63702;3039;37078;57548;True
https://twitter.com/andreawerner_/status/1586494136554758146;2022-10-29 23:04:12+00:00;Não teve nem o cuspe que ela falou;andreawerner_;;andreawerner_;35;134;871;4;True;0.8613839149475098;True;0.9999797344207764;True;0.9999383687973022;False;0.8378332853317261;3;SP;DEPUTADO ESTADUAL;250001620622;ANDRÉA WERNER;40;PSB;BELO HORIZONTE;47.0;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;JORNALISTA E REDATOR;ELEITO POR QP;N;andreawerner_;63702;3039;37078;57548;True
https://twitter.com/andreawerner_/status/1586458602839363584;2022-10-29 20:43:00+00:00;"Isso é a cara do bolsonarismo. Querem transformar nosso país em um filme de faroeste. Gente destemperada se sentindo empoderada com uma arma na mão, ameaçando os outros.

Eu não quero isso para o meu país! https://t.co/y5gXEf81sf";andreawerner_;;andreawerner_;7;32;263;3;True;0.9999479055404664;True;0.9999738931655884;True;0.9999762773513794;False;0.8965081572532654;3;SP;DEPUTADO ESTADUAL;250001620622;ANDRÉA WERNER;40;PSB;BELO HORIZONTE;47.0;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;JORNALISTA E REDATOR;ELEITO POR QP;N;andreawerner_;63702;3039;37078;57548;True
https://twitter.com/andreawerner_/status/1586136304852402176;2022-10-28 23:22:18+00:00;@PoliMartins_ Lembro que ela ficou impressionada pq fui a única do prédio a pagar pra ela não ir trabalhar na pandemia (o mínimo, minha obrigação). O prédio era cheio de bolsominion.;andreawerner_;polimartins_;andreawerner_;1;1;89;0;True;0.98928564786911;False;0.9935032725334167;True;0.9999359846115112;False;0.9620094299316406;2;SP;DEPUTADO ESTADUAL;250001620622;ANDRÉA WERNER;40;PSB;BELO HORIZONTE;47.0;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;JORNALISTA E REDATOR;ELEITO POR QP;N;andreawerner_;63702;3039;37078;57548;True
https://twitter.com/andreawerner_/status/1585686996843888662;2022-10-27 17:36:55+00:00;@vaneza_lo Tentativa de golpe;andreawerner_;vaneza_lo;andreawerner_;2;0;3;0;True;0.9990649819374084;True;0.9999061822891236;True;0.9992965459823608;False;0.94489586353302;3;SP;DEPUTADO ESTADUAL;250001620622;ANDRÉA WERNER;40;PSB;BELO HORIZONTE;47.0;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;JORNALISTA E REDATOR;ELEITO POR QP;N;andreawerner_;63702;3039;37078;57548;True
https://twitter.com/andreawerner_/status/1585411115508535303;2022-10-26 23:20:40+00:00;@sbjul Tem 2 ali que eu já quero matar;andreawerner_;sbjul;andreawerner_;3;0;5;0;True;0.9350349307060242;True;0.996692419052124;False;0.9999794960021972;True;0.6067291498184204;3;SP;DEPUTADO ESTADUAL;250001620622;ANDRÉA WERNER;40;PSB;BELO HORIZONTE;47.0;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;JORNALISTA E REDATOR;ELEITO POR QP;N;andreawerner_;63702;3039;37078;57548;True
https://twitter.com/andreawerner_/status/1585045914288521226;2022-10-25 23:09:29+00:00;ATENTADO FAKE DO TARCÍSIO;andreawerner_;;andreawerner_;1;13;109;0;True;0.9999405145645142;False;0.9998297691345216;True;0.9999781847000122;True;0.5570185780525208;3;SP;DEPUTADO ESTADUAL;250001620622;ANDRÉA WERNER;40;PSB;BELO HORIZONTE;47.0;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;JORNALISTA E REDATOR;ELEITO POR QP;N;andreawerner_;63702;3039;37078;57548;True
https://twitter.com/andreawerner_/status/1584870126725533697;2022-10-25 11:30:58+00:00;Eu acho que os filhos do Bob Jeff precisam saber que o líder do governo no senado falou agora na Globonews que ele é, no máximo, um “apoiador” do presidente. E que ele não poderia estar com aquelas armas, então é tal e qual um traficante com arma ilegal.👀;andreawerner_;;andreawerner_;7;42;427;0;False;0.9984490871429444;True;0.9999455213546752;True;0.9999663829803468;False;0.9862948060035706;2;SP;DEPUTADO ESTADUAL;250001620622;ANDRÉA WERNER;40;PSB;BELO HORIZONTE;47.0;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;JORNALISTA E REDATOR;ELEITO POR QP;N;andreawerner_;63702;3039;37078;57548;True
https://twitter.com/andreawerner_/status/1584249102925434880;2022-10-23 18:23:14+00:00;A Globo News tava falando que Bob Jef tinha 3 GRANADAS. É terrorismo que chama.;andreawerner_;;andreawerner_;33;137;1020;6;True;0.9999046325683594;True;0.9998947381973268;True;0.9999680519104004;False;0.9843652248382568;3;SP;DEPUTADO ESTADUAL;250001620622;ANDRÉA WERNER;40;PSB;BELO HORIZONTE;47.0;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;JORNALISTA E REDATOR;ELEITO POR QP;N;andreawerner_;63702;3039;37078;57548;True
https://twitter.com/andreawerner_/status/1584233533304115200;2022-10-23 17:21:22+00:00;É um bandido! Armado pela política do governo atual. Como esse cara tinha até granada? Foi um ATENTADO CONTRA A APF !;andreawerner_;;andreawerner_;17;56;573;5;True;0.9999589920043944;True;0.9999911785125732;True;0.9999775886535645;True;0.759408712387085;4;SP;DEPUTADO ESTADUAL;250001620622;ANDRÉA WERNER;40;PSB;BELO HORIZONTE;47.0;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;JORNALISTA E REDATOR;ELEITO POR QP;N;andreawerner_;63702;3039;37078;57548;True
https://twitter.com/andreawerner_/status/1584225438813270016;2022-10-23 16:49:12+00:00;ATENTADO CONTRA A PF;andreawerner_;;andreawerner_;1;4;44;0;True;0.9995700716972352;True;0.9693403244018556;True;0.9987046718597412;False;0.8805970549583435;3;SP;DEPUTADO ESTADUAL;250001620622;ANDRÉA WERNER;40;PSB;BELO HORIZONTE;47.0;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;JORNALISTA E REDATOR;ELEITO POR QP;N;andreawerner_;63702;3039;37078;57548;True
https://twitter.com/andreawerner_/status/1583869554979385344;2022-10-22 17:15:03+00:00;Pelo jeito, toquei o berrante. Ataque de bots. Vamos dando block!;andreawerner_;;andreawerner_;25;24;1363;0;True;0.9997971653938292;True;0.9999747276306152;True;0.9998453855514526;True;0.7779703140258789;4;SP;DEPUTADO ESTADUAL;250001620622;ANDRÉA WERNER;40;PSB;BELO HORIZONTE;47.0;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;JORNALISTA E REDATOR;ELEITO POR QP;N;andreawerner_;63702;3039;37078;57548;True
https://twitter.com/andreawerner_/status/1583843529574428672;2022-10-22 15:31:38+00:00;@CarlosProfGeo Eu nem sabia que ela ainda estava viva. Lembro das pataquadas dela na minha época de adolescência na igreja.;andreawerner_;carlosprofgeo;andreawerner_;1;0;8;0;True;0.9996861219406128;True;0.999925136566162;True;0.9997134804725648;False;0.9843458533287048;3;SP;DEPUTADO ESTADUAL;250001620622;ANDRÉA WERNER;40;PSB;BELO HORIZONTE;47.0;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;JORNALISTA E REDATOR;ELEITO POR QP;N;andreawerner_;63702;3039;37078;57548;True
https://twitter.com/andreawerner_/status/1583843329896517632;2022-10-22 15:30:50+00:00;É sério que BOLSONARO CENSUROU JANONES ?;andreawerner_;;andreawerner_;2076;2284;15073;182;False;0.9997054934501648;True;0.9403036832809448;True;0.9999674558639526;False;0.8343400955200195;2;SP;DEPUTADO ESTADUAL;250001620622;ANDRÉA WERNER;40;PSB;BELO HORIZONTE;47.0;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;JORNALISTA E REDATOR;ELEITO POR QP;N;andreawerner_;63702;3039;37078;57548;True
